name,n_train,wr_train,roi_train,n_oos,wr_oos,avg_cote_oos,roi_oos
"F1 HOME edge>=0.10 cote[2.5,3.5)",135,0.37,0.056,52,0.481,2.903,0.381
"F2 HOME edge>=0.10 cote[2.0,3.0)",162,0.407,0.015,61,0.492,2.5,0.24
"F3 HOME edge>=0.10 cote[2.0,3.5) pooled",206,0.393,0.033,82,0.476,2.683,0.272
"F4 HOME edge>=0.08 cote[2.5,3.5)",149,0.369,0.055,57,0.474,2.906,0.362
"F5 HOME edge>=0.10 + prevHomeLoss cote[2.0,6.0)",125,0.32,0.183,39,0.462,3.921,0.612
"F6 HOME segdelta>=0.10 cote[2.0,6.0)",73,0.616,0.688,24,0.458,2.85,0.205
"F7 HOME segdelta>=0.08 cote[2.0,6.0)",90,0.556,0.506,32,0.438,2.86,0.139
"F8 HOME edge>=0.10 cote[2.0,6.0) volume",455,0.31,0.054,180,0.339,3.668,0.138
"F9 HOME longshot cote[4.0,6.0) global",333,0.213,0.045,127,0.228,4.881,0.074
"F10 HOME rebond prevHomeLoss cote[2.5,4.0)",241,0.332,-0.005,88,0.364,3.199,0.139
F11 AWAY favori cote<=1.40 (accuracy),143,0.769,-0.027,55,0.927,1.251,0.163
F12 NEGATIF golden pairs H wr>=70 n>=6,783,0.803,0.151,320,0.672,1.43,-0.068
